Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,Height_in,Cluster
Tim Euhus,TE,Oregon State,6-5,260.0,4.93,34.5,25.0,115.0,6.99,4.13,2004,77.0,1
Clarence Farmer,RB,Arizona,6-0,231.0,4.68,34.5,25.0,120.0,7.44,4.25,2004,72.0,1
J.P. Foschi,TE,Georgia Tech,6-4,266.0,5.0,30.5,24.0,111.0,7.49,4.35,2004,76.0,1
Michael Gaines,TE,Central Florida,6-2,275.0,5.06,33.0,18.0,109.0,7.44,4.18,2004,74.0,1
Rich Gardner,CB,Penn State,5-11,199.0,4.46,36.5,11.0,123.0,6.91,3.91,2004,71.0,0
Ronnie Ghent,TE,Louisville,6-2,248.0,5.02,27.5,11.0,103.0,7.47,4.5,2004,74.0,1
Ben Hartsock,TE,Ohio State,6-4,263.0,4.8,35.0,23.0,117.0,7.1,3.98,2004,76.0,1
Von Hutchins,CB,Mississippi,5-10,185.0,4.46,34.5,11.0,115.0,7.05,4.06,2004,70.0,0
Ryan Krause,WR,Nebraska-Omaha,6-2,244.0,4.6,33.5,18.0,119.0,6.78,4.16,2004,74.0,0
Keith Lewis,S,Oregon,6-0,204.0,4.6,37.0,11.0,121.0,7.28,4.07,2004,72.0,0
Sean McHugh,TE,Penn State,6-5,264.0,4.92,29.0,18.0,115.0,7.36,4.09,2004,77.0,1
Arnold Parker,S,Utah,6-2,213.0,4.54,35.5,18.0,120.0,6.98,4.12,2004,74.0,0
Jason Peters,TE,Arkansas,6-4,336.0,4.93,29.0,21.0,115.0,7.7,4.75,2004,76.0,1
Brett Pierce,TE,Stanford,6-5,250.0,4.95,27.0,19.0,103.0,7.13,4.37,2004,77.0,1
Dunta Robinson,CB,South Carolina,5-11,186.0,4.34,36.0,15.0,120.0,6.97,3.75,2004,71.0,0
Fred Russell,RB,Iowa,5-7,195.0,4.5,34.0,21.0,121.0,7.09,4.3,2004,67.0,0
Bob Sanders,S,Iowa,5-8,204.0,4.35,41.5,15.0,128.0,6.7,3.91,2004,68.0,0
Stuart Schweigert,S,Purdue,6-2,218.0,4.47,38.0,18.0,124.0,6.68,3.89,2004,74.0,0
Jeff Shoate,CB,San Diego State,5-10,189.0,4.62,36.0,12.0,121.0,7.0,3.88,2004,70.0,0
Joey Thomas,CB,Montana State,6-1,195.0,4.44,38.5,17.0,122.0,6.82,3.88,2004,73.0,0
Chris Thompson,CB,Nicholls State,6-0,189.0,4.5,35.0,12.0,117.0,7.09,4.14,2004,72.0,0
Michael Turner,RB,Northern Illinois,5-10,237.0,4.49,31.0,22.0,114.0,7.5,4.15,2004,70.0,1
Michael Waddell,CB,North Carolina,5-11,187.0,4.31,37.5,14.0,121.0,6.84,4.03,2004,71.0,0
Mike Walker,TE,Minnesota-Morris,6-4,254.0,4.84,30.0,19.0,106.0,7.51,4.35,2004,76.0,1
Rashad Washington,S,Kansas State,6-2,223.0,4.61,34.0,14.0,116.0,7.06,4.02,2004,74.0,0
